<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	DATE
SBER	D	20191211	0	237.8100000	241.2300000	237.7000000	240.3200000	44152540	2019-12-11
SBER	D	20191212	0	242.0100000	242.3000000	240.0900000	241.0500000	36011490	2019-12-12
SBER	D	20191213	0	242.0200000	243.2500000	241.1000000	241.2100000	33100880	2019-12-13
SBER	D	20191216	0	242.0200000	242.4800000	240.1300000	241.4500000	25489190	2019-12-16
SBER	D	20191217	0	241.8200000	242.9600000	241.0000000	241.6000000	33821980	2019-12-17
SBER	D	20191218	0	241.2100000	246.2500000	240.3600000	246.2000000	55754300	2019-12-18
SBER	D	20191219	0	246.2700000	248.4000000	243.1000000	244.0000000	59872840	2019-12-19
SBER	D	20191220	0	244.6000000	245.4000000	243.7200000	244.7100000	32926290	2019-12-20
SBER	D	20191223	0	244.7500000	249.1900000	244.0700000	248.8000000	23950490	2019-12-23
SBER	D	20191224	0	248.8000000	249.8900000	247.2700000	248.6700000	21016800	2019-12-24
SBER	D	20191225	0	248.9800000	249.3000000	247.1100000	248.0400000	7910360	2019-12-25
SBER	D	20191226	0	248.2000000	249.2400000	246.7100000	248.2400000	12979620	2019-12-26
SBER	D	20191227	0	248.5600000	252.9500000	248.5500000	252.0600000	31907600	2019-12-27
SBER	D	20191230	0	252.0900000	256.0000000	250.7300000	254.7500000	43131930	2019-12-30
SBER	D	20200103	0	255.9700000	258.1900000	253.7000000	255.0000000	35824160	2020-01-03
SBER	D	20200106	0	254.7500000	254.8400000	251.4000000	253.9000000	22327940	2020-01-06
SBER	D	20200108	0	253.6200000	259.1500000	253.0300000	259.1500000	40736030	2020-01-08
SBER	D	20200109	0	259.4100000	261.7600000	257.0100000	257.9900000	38196300	2020-01-09
SBER	D	20200110	0	257.9100000	259.2500000	256.8800000	258.1900000	18841650	2020-01-10
SBER	D	20200113	0	258.2100000	262.4000000	257.1500000	262.4000000	25849900	2020-01-13
SBER	D	20200114	0	262.5800000	263.2200000	258.6200000	259.0500000	31097130	2020-01-14
SBER	D	20200115	0	258.4500000	258.9100000	254.2100000	256.3100000	49328500	2020-01-15
SBER	D	20200116	0	257.1100000	259.5100000	256.1000000	257.5100000	40225420	2020-01-16
SBER	D	20200117	0	258.2000000	262.8200000	257.7500000	262.5000000	44891340	2020-01-17
SBER	D	20200120	0	263.2200000	266.9700000	261.8000000	266.2800000	29749210	2020-01-20
SBER	D	20200121	0	265.4700000	268.9000000	263.0200000	268.0600000	37927820	2020-01-21
SBER	D	20200122	0	268.6300000	270.8000000	265.5000000	266.5400000	44170920	2020-01-22
SBER	D	20200123	0	264.9000000	266.8900000	262.2400000	263.7300000	40484270	2020-01-23
SBER	D	20200124	0	264.5300000	267.5000000	264.2100000	265.4900000	27246250	2020-01-24
SBER	D	20200127	0	260.9900000	262.1000000	255.3200000	255.3200000	56011660	2020-01-27
SBER	D	20200128	0	257.0500000	258.8400000	254.1000000	257.7000000	47921360	2020-01-28
SBER	D	20200129	0	258.4000000	261.5700000	257.6100000	259.9400000	34921040	2020-01-29
SBER	D	20200130	0	257.9700000	258.6900000	255.2700000	257.3100000	31552340	2020-01-30
SBER	D	20200131	0	258.5000000	259.2000000	252.1700000	252.2000000	47800190	2020-01-31
SBER	D	20200203	0	251.8000000	254.9600000	251.1000000	253.9900000	52621110	2020-02-03
SBER	D	20200204	0	255.3300000	257.3800000	252.9000000	255.4000000	49731290	2020-02-04
SBER	D	20200205	0	255.8900000	257.6600000	253.1400000	255.2000000	50719760	2020-02-05
SBER	D	20200206	0	256.6600000	258.0000000	251.8600000	252.1100000	43319020	2020-02-06
SBER	D	20200207	0	253.1300000	254.3000000	248.7300000	254.3000000	50059840	2020-02-07
SBER	D	20200210	0	254.5500000	255.7300000	252.0700000	252.2600000	34935840	2020-02-10
SBER	D	20200211	0	253.7800000	259.7700000	253.0000000	254.5000000	79392360	2020-02-11
SBER	D	20200212	0	255.4000000	255.4900000	252.3100000	254.5000000	52447350	2020-02-12
SBER	D	20200213	0	253.6200000	255.1800000	252.5000000	253.8900000	36654420	2020-02-13
SBER	D	20200214	0	254.3800000	254.3800000	251.4000000	251.7500000	29982140	2020-02-14
SBER	D	20200217	0	252.5000000	253.1000000	250.1300000	251.3600000	26370580	2020-02-17
SBER	D	20200218	0	250.0800000	250.4400000	247.5700000	249.2000000	36259430	2020-02-18
SBER	D	20200219	0	250.3700000	250.6800000	247.9500000	249.7000000	25740870	2020-02-19
SBER	D	20200220	0	250.0700000	252.1700000	249.1300000	250.1500000	30707880	2020-02-20
SBER	D	20200221	0	248.4200000	251.4900000	247.2400000	250.8000000	27682840	2020-02-21
SBER	D	20200225	0	247.9800000	248.8300000	245.1700000	245.1900000	40505070	2020-02-25
SBER	D	20200226	0	244.7500000	251.2100000	243.2200000	250.8000000	67529090	2020-02-26
SBER	D	20200227	0	247.5000000	248.9800000	242.0000000	242.8800000	57887670	2020-02-27
SBER	D	20200228	0	234.9600000	239.0000000	231.0000000	233.3600000	123187610	2020-02-28
SBER	D	20200302	0	238.5500000	241.0000000	218.8600000	228.1700000	101688550	2020-03-02
SBER	D	20200303	0	233.0000000	239.0000000	232.2800000	236.6300000	83491100	2020-03-03
SBER	D	20200304	0	234.1300000	236.7000000	232.6200000	235.2700000	54165550	2020-03-04
SBER	D	20200305	0	237.0300000	238.7200000	230.6400000	232.3300000	56972700	2020-03-05
SBER	D	20200306	0	227.9900000	229.2000000	216.6700000	219.9900000	103932680	2020-03-06
SBER	D	20200310	0	197.9900000	212.7400000	184.8600000	201.2000000	243308680	2020-03-10
SBER	D	20200311	0	202.2000000	204.3300000	192.0500000	194.5300000	137765860	2020-03-11
